G;+;Дата;Время;Документ;Номер;Комментарий;АвтоматическийВвод;УникальныйИдентификатор;флВ;УникальныйИдентификаторА2000;ОтборВЖурнале;ИД_Ефа;Филиал документа;Филиал и тип журнала документов;Тип журнала документов;Поступление;Отгрузка;Контрагент;Основание;Номер входящего документа;;
;+;12.11.13;12:00:00;Поступление товаров;00000109091;Номер документа в Е-Фарма 13188424;1;;;;;6FFDEC33-3470-4984-8119-7E74C2795BF8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3661,11;;Роста;Договор поставки №76 от 02.09.2010 г.;13188424;11.11.13;11.11.13
;+;12.11.13;12:00:00;Поступление товаров;00000109093;Номер документа в Е-Фарма 13187580;1;;;;;1ECBC521-D2B6-4937-9875-BA6E2914D6C4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3929,39;;Роста;Договор поставки №76 от 02.09.2010 г.;13187580;11.11.13;11.11.13
;+;12.11.13;12:00:00;Поступление товаров;00000109105;Номер документа в Е-Фарма 13180149;1;;;;;EA40B553-B6D4-4887-82FC-0A1677FE1E95;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;21035,21;;Роста;Договор поставки №76 от 02.09.2010 г.;13180149;08.11.13;08.11.13
;+;12.11.13;12:00:00;Поступление товаров;00000109109;Номер документа в Е-Фарма 13187570;1;;;;;698B88FA-18F3-4799-BE66-8BAB9257D388;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3765,06;;Роста;Договор поставки №76 от 02.09.2010 г.;13187570;11.11.13;11.11.13
;+;12.11.13;12:00:00;Поступление товаров;00000109113;Номер документа в Е-Фарма 13188449;1;;;;;F32AA518-A4F5-4478-A038-1CDC6C3DB241;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3500,72;;Роста;Договор поставки №76 от 02.09.2010 г.;13188449;11.11.13;11.11.13
;+;12.11.13;12:00:00;Поступление товаров;00000109129;Номер документа в Е-Фарма 13179997;1;;;;;A4CA790F-D583-4C96-912E-19F28D777C08;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;26061,48;;Роста;Договор поставки №76 от 02.09.2010 г.;13179997;08.11.13;08.11.13
;+;12.11.13;12:00:00;Поступление товаров;00000109172;Номер документа в Е-Фарма 13188143;1;;;;;C9B916CB-EFE1-423A-A439-B5008A4701BE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2081,91;;Роста;Договор поставки №76 от 02.09.2010 г.;13188143;11.11.13;11.11.13
;+;12.11.13;12:00:00;Поступление товаров;00000109188;Номер документа в Е-Фарма 13180162;1;;;;;C7427CB4-2654-47EC-B8F6-D601C90C6921;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;39683,89;;Роста;Договор поставки №76 от 02.09.2010 г.;13180162;08.11.13;08.11.13
;+;13.11.13;12:00:00;Поступление товаров;00000109242;Номер документа в Е-Фарма 13192663;1;;;;;C2546DCA-4FEE-4BEE-81EF-20F63B3EFA64;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3135,52;;Роста;Договор поставки №76 от 02.09.2010 г.;13192663;12.11.13;12.11.13
;+;13.11.13;12:00:00;Поступление товаров;00000109273;Номер документа в Е-Фарма 13191357;1;;;;;48BB15AB-362F-4775-AA5B-AE350799E032;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7289,96;;Роста;Договор поставки №76 от 02.09.2010 г.;13191357;12.11.13;12.11.13
;+;13.11.13;12:00:00;Поступление товаров;00000109289;Номер документа в Е-Фарма 13191875;1;;;;;BB6641E8-D52F-4C0E-815C-FD2DA3CD37CB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2761,87;;Роста;Договор поставки №76 от 02.09.2010 г.;13191875;12.11.13;12.11.13
;+;13.11.13;12:00:00;Поступление товаров;00000109290;Номер документа в Е-Фарма 13192097;1;;;;;67C04A29-E500-4B1A-9C96-46E10B4D8BDB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;480,5;;Роста;Договор поставки №76 от 02.09.2010 г.;13192097;12.11.13;12.11.13
;+;13.11.13;12:00:00;Поступление товаров;00000109327;Номер документа в Е-Фарма 13191896;1;;;;;54A12E64-F220-4FB9-9E02-91A5683663C5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5646,88;;Роста;Договор поставки №76 от 02.09.2010 г.;13191896;12.11.13;12.11.13
;+;13.11.13;12:00:00;Поступление товаров;00000109357;Номер документа в Е-Фарма 13194624;1;;;;;8BB78580-4371-4C44-B611-F85FDC980648;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2260,1;;Роста;Договор поставки №76 от 02.09.2010 г.;13194624;12.11.13;12.11.13
;+;13.11.13;12:00:00;Поступление товаров;00000109358;Номер документа в Е-Фарма 13191560;1;;;;;8AA4177F-DA25-404A-962C-C1B235354AC8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2063,13;;Роста;Договор поставки №76 от 02.09.2010 г.;13191560;12.11.13;12.11.13
;+;13.11.13;12:00:00;Поступление товаров;00000109359;Номер документа в Е-Фарма 13195021;1;;;;;11433484-152B-4267-93F0-67D1FF30B778;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3151,38;;Роста;Договор поставки №76 от 02.09.2010 г.;13195021;12.11.13;12.11.13
;+;13.11.13;12:00:00;Поступление товаров;00000109384;Номер документа в Е-Фарма 13195014;1;;;;;A223DEB1-E23B-488B-AEF8-6F179B028EE0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2586,54;;Роста;Договор поставки №76 от 02.09.2010 г.;13195014;12.11.13;12.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109387;Номер документа в Е-Фарма 13198767;1;;;;;71CDA4B7-323B-4540-9F02-FB8353125693;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4984,05;;Роста;Договор поставки №76 от 02.09.2010 г.;13198767;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109389;Номер документа в Е-Фарма 13199474;1;;;;;4BD8B21E-E3E2-486E-9BD8-6019300FAF24;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;171,09;;Роста;Договор поставки №76 от 02.09.2010 г.;13199474;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109390;Номер документа в Е-Фарма 13199476;1;;;;;A941FF4F-3455-42F1-8E7D-507975DE7B22;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3177,22;;Роста;Договор поставки №76 от 02.09.2010 г.;13199476;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109393;Номер документа в Е-Фарма 13201321;1;;;;;28495B79-B979-4420-AA67-86535E53A56E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3828,76;;Роста;Договор поставки №76 от 02.09.2010 г.;13201321;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109395;Номер документа в Е-Фарма 13201459;1;;;;;CCED1D7D-9F54-4683-BFF0-A67D1BF3435E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1616,41;;Роста;Договор поставки №76 от 02.09.2010 г.;13201459;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109404;Номер документа в Е-Фарма 13198772;1;;;;;1CE629F0-2B0F-4C4A-A9A7-1D460E27DE52;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;444,88;;Роста;Договор поставки №76 от 02.09.2010 г.;13198772;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109407;Номер документа в Е-Фарма 13201318;1;;;;;3FBF85B7-B70A-4BF3-9363-EC6A9996CABD;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;717,42;;Роста;Договор поставки №76 от 02.09.2010 г.;13201318;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109409;Номер документа в Е-Фарма 13202386;1;;;;;8C43B5C3-2A49-46AB-B275-0A812F2256C8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1030,65;;Роста;Договор поставки №76 от 02.09.2010 г.;13202386;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109419;Номер документа в Е-Фарма 13198750;1;;;;;711F3398-9B7B-45D5-9968-30C72B641945;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7082,79;;Роста;Договор поставки №76 от 02.09.2010 г.;13198750;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109420;Номер документа в Е-Фарма 13202390;1;;;;;00A1498A-A74D-423E-AC94-2FC25C640E19;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1030,65;;Роста;Договор поставки №76 от 02.09.2010 г.;13202390;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109428;Номер документа в Е-Фарма 13200199;1;;;;;D496B4E0-BF4E-4CB7-87A2-4C668BD7B693;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2158,44;;Роста;Договор поставки №76 от 02.09.2010 г.;13200199;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109457;Номер документа в Е-Фарма 13199105;1;;;;;249CABE3-80A6-41B2-96CA-582953D44592;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4422,61;;Роста;Договор поставки №76 от 02.09.2010 г.;13199105;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109495;Номер документа в Е-Фарма 13197597;1;;;;;DA1E845E-92F0-471B-B0BF-9192508BBB3A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3292,9;;Роста;Договор поставки №76 от 02.09.2010 г.;13197597;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109519;Номер документа в Е-Фарма 13199915;1;;;;;57485227-A564-40D2-8B0D-1B0F1B81EBB7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13973,93;;Роста;Договор поставки №76 от 02.09.2010 г.;13199915;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109552;Номер документа в Е-Фарма 13198870;1;;;;;EEF12D08-F87E-4315-89AB-8BC4D8A2BBC7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3032,04;;Роста;Договор поставки №76 от 02.09.2010 г.;13198870;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109553;Номер документа в Е-Фарма 13202471;1;;;;;FBAEC19A-AF1C-496B-817F-E7D9D31E91F9;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1954,19;;Роста;Договор поставки №76 от 02.09.2010 г.;13202471;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109576;Номер документа в Е-Фарма 13200168;1;;;;;8598100B-12F6-4FEE-9CAE-74753CC14C04;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2237,24;;Роста;Договор поставки №76 от 02.09.2010 г.;13200168;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109577;Номер документа в Е-Фарма 13200178;1;;;;;C6AE9DC3-ED27-4D79-BB84-2B382D07F170;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1550,04;;Роста;Договор поставки №76 от 02.09.2010 г.;13200178;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109583;Номер документа в Е-Фарма 13199431;1;;;;;082EA681-318D-48E7-A924-A4BD2269485B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4539,24;;Роста;Договор поставки №76 от 02.09.2010 г.;13199431;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109588;Номер документа в Е-Фарма 13199086;1;;;;;DA63D193-73EB-410A-96DA-BD908D8529DC;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3896,44;;Роста;Договор поставки №76 от 02.09.2010 г.;13199086;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109613;Номер документа в Е-Фарма 13201189;1;;;;;05CCB210-0759-463F-A865-13A126C60819;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2451,63;;Роста;Договор поставки №76 от 02.09.2010 г.;13201189;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109614;Номер документа в Е-Фарма 13201172;1;;;;;7E7A96B3-9FEF-442E-9E32-BA82C087D532;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5238,52;;Роста;Договор поставки №76 от 02.09.2010 г.;13201172;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109615;Номер документа в Е-Фарма 13201329;1;;;;;A11BC40D-5549-41BC-9921-A78CB07C768C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2005,83;;Роста;Договор поставки №76 от 02.09.2010 г.;13201329;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109617;Номер документа в Е-Фарма 13199473;1;;;;;2B86BF38-31A6-42F3-967E-D50A2522F3CB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2027,91;;Роста;Договор поставки №76 от 02.09.2010 г.;13199473;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109618;Номер документа в Е-Фарма 13199481;1;;;;;0417C158-066F-453B-A946-2B254CE59D38;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2022,41;;Роста;Договор поставки №76 от 02.09.2010 г.;13199481;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109619;Номер документа в Е-Фарма 13200640;1;;;;;1052CE4B-0F17-4CF9-A2C4-E15FA8EFCCF5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1202,49;;Роста;Договор поставки №76 от 02.09.2010 г.;13200640;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109620;Номер документа в Е-Фарма 13198744;1;;;;;6CD246D2-117E-4785-B360-86E3E7A12D9F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2620,96;;Роста;Договор поставки №76 от 02.09.2010 г.;13198744;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109621;Номер документа в Е-Фарма 13201333;1;;;;;6F39F7FB-48E4-48BB-A197-491858C8132A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;412,26;;Роста;Договор поставки №76 от 02.09.2010 г.;13201333;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109626;Номер документа в Е-Фарма 13199478;1;;;;;D102C6F7-AC9F-46E7-9DC2-02063346AA52;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1674,81;;Роста;Договор поставки №76 от 02.09.2010 г.;13199478;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109627;Номер документа в Е-Фарма 13201335;1;;;;;89EDAD3F-AADD-4F56-B68D-FCE4267FD777;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;635,73;;Роста;Договор поставки №76 от 02.09.2010 г.;13201335;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109628;Номер документа в Е-Фарма 13199470;1;;;;;8B364157-E242-4F84-95A8-C0D04B1A6DE4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2897,08;;Роста;Договор поставки №76 от 02.09.2010 г.;13199470;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109630;Номер документа в Е-Фарма 13197766;1;;;;;D0EADB6B-7102-4250-A708-BA0561085AF8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4522,29;;Роста;Договор поставки №76 от 02.09.2010 г.;13197766;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109631;Номер документа в Е-Фарма 13200265;1;;;;;E5119A02-E4D1-4189-865B-607C48CB86E1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3197,7;;Роста;Договор поставки №76 от 02.09.2010 г.;13200265;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109632;Номер документа в Е-Фарма 13199471;1;;;;;5B39DA9D-4E8B-43FF-BC9F-A2B0BBCA2A58;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3072,23;;Роста;Договор поставки №76 от 02.09.2010 г.;13199471;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109633;Номер документа в Е-Фарма 13200593;1;;;;;7A891FE2-ED11-4CC9-BD21-8AF557695579;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;93,68;;Роста;Договор поставки №76 от 02.09.2010 г.;13200593;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109634;Номер документа в Е-Фарма 13202388;1;;;;;72E4AE75-1C24-455C-8F36-3554C6F027D5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1030,65;;Роста;Договор поставки №76 от 02.09.2010 г.;13202388;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109636;Номер документа в Е-Фарма 13202391;1;;;;;3FE778BB-B9E8-4BF1-B690-D1ABB998701D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3422,28;;Роста;Договор поставки №76 от 02.09.2010 г.;13202391;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109640;Номер документа в Е-Фарма 13198739;1;;;;;CB891EBA-3190-49DA-B244-CD695CDC5897;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3484,36;;Роста;Договор поставки №76 от 02.09.2010 г.;13198739;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109641;Номер документа в Е-Фарма 13198751;1;;;;;DE475DD5-F4C1-41CB-ABE0-DDC52FBCCE27;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2004,76;;Роста;Договор поставки №76 от 02.09.2010 г.;13198751;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109643;Номер документа в Е-Фарма 13201309;1;;;;;FF9792CA-189F-45B5-BEAC-D65F0D3BCDAA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;206,13;;Роста;Договор поставки №76 от 02.09.2010 г.;13201309;13.11.13;13.11.13
;+;14.11.13;12:00:00;Поступление товаров;00000109644;Номер документа в Е-Фарма 13198756;1;;;;;648FFC33-F890-465D-8F0D-429CA8694ED1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6097,12;;Роста;Договор поставки №76 от 02.09.2010 г.;13198756;13.11.13;13.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109658;Номер документа в Е-Фарма 13207627;1;;;;;015F2AC1-905E-40D9-A492-5798A4C2C17E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;21801,17;;Роста;Договор поставки №76 от 02.09.2010 г.;13207627;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109661;Номер документа в Е-Фарма 13204513;1;;;;;2218C9DB-A01B-45F9-99A9-CF848BAA1809;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3587,1;;Роста;Договор поставки №76 от 02.09.2010 г.;13204513;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109665;Номер документа в Е-Фарма 13205099;1;;;;;A9DF27D6-63AE-457C-A15F-4DBB03E144A3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3127,79;;Роста;Договор поставки №76 от 02.09.2010 г.;13205099;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109666;Номер документа в Е-Фарма 13205872;1;;;;;583B104C-FF05-4FC6-8170-BB3F2CAEE5B0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2147,21;;Роста;Договор поставки №76 от 02.09.2010 г.;13205872;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109668;Номер документа в Е-Фарма 13206952;1;;;;;CE82574C-6D5A-4742-89E7-AAE2F092AFEF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6789,42;;Роста;Договор поставки №76 от 02.09.2010 г.;13206952;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109686;Номер документа в Е-Фарма 13207658;1;;;;;009F3380-DB86-4B4A-8740-91E466E802A5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2727,4;;Роста;Договор поставки №76 от 02.09.2010 г.;13207658;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109714;Номер документа в Е-Фарма 13206649;1;;;;;01A5BBC0-066D-4A79-B4EE-D0EF25089DAA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;20768,85;;Роста;Договор поставки №76 от 02.09.2010 г.;13206649;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109721;Номер документа в Е-Фарма 13207125;1;;;;;EA859F96-0F26-48A5-8279-103877D03835;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4609,66;;Роста;Договор поставки №76 от 02.09.2010 г.;13207125;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109730;Номер документа в Е-Фарма 13207106;1;;;;;5B4EF7DF-8FBD-4239-B219-A489E7AAB16D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4599,93;;Роста;Договор поставки №76 от 02.09.2010 г.;13207106;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109742;Номер документа в Е-Фарма 13204367;1;;;;;8F7C5FBF-BF87-4FE8-9D17-83C68E342AF3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10761,3;;Роста;Договор поставки №76 от 02.09.2010 г.;13204367;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109743;Номер документа в Е-Фарма 13204368;1;;;;;79F6278B-F033-449F-A35E-341902A1B013;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;169,88;;Роста;Договор поставки №76 от 02.09.2010 г.;13204368;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109746;Номер документа в Е-Фарма 13205487;1;;;;;F36822A3-B552-49B3-8ACC-758DFFD37F06;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;275,88;;Роста;Договор поставки №76 от 02.09.2010 г.;13205487;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109749;Номер документа в Е-Фарма 13205801;1;;;;;03C26EAE-58A6-4839-B41E-12951ED1E2D0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4981,79;;Роста;Договор поставки №76 от 02.09.2010 г.;13205801;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109754;Номер документа в Е-Фарма 13207317;1;;;;;6460F62C-9147-49C9-804D-BB1F47A93429;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;28454,08;;Роста;Договор поставки №76 от 02.09.2010 г.;13207317;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109770;Номер документа в Е-Фарма 13207859;1;;;;;F8A6C594-8073-4427-A771-049FB806F8B7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5553,69;;Роста;Договор поставки №76 от 02.09.2010 г.;13207859;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109771;Номер документа в Е-Фарма 13204443;1;;;;;53D72BF7-5376-486C-8400-9A6885B06B5C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;147,21;;Роста;Договор поставки №76 от 02.09.2010 г.;13204443;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109773;Номер документа в Е-Фарма 13206048;1;;;;;CEF8843D-3E2C-4102-B7DE-29B604578016;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2061,29;;Роста;Договор поставки №76 от 02.09.2010 г.;13206048;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109779;Номер документа в Е-Фарма 13207139;1;;;;;6FC94DDE-E3D9-4374-A004-62FBB940848A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10922,79;;Роста;Договор поставки №76 от 02.09.2010 г.;13207139;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109785;Номер документа в Е-Фарма 13207100;1;;;;;FCE65FE4-7F6B-464D-9CE8-16B2D52E51AE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5647,9;;Роста;Договор поставки №76 от 02.09.2010 г.;13207100;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109802;Номер документа в Е-Фарма 13207111;1;;;;;578CB23D-C50A-445C-8052-ECE2C77AF220;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6174,96;;Роста;Договор поставки №76 от 02.09.2010 г.;13207111;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109811;Номер документа в Е-Фарма 13207092;1;;;;;830757A8-85D4-4ED8-8370-5BA49C877072;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10673,49;;Роста;Договор поставки №76 от 02.09.2010 г.;13207092;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109818;Номер документа в Е-Фарма 13204391;1;;;;;F6A6B2D7-7DA9-4FD4-8DC5-9862DF6334BA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1065,34;;Роста;Договор поставки №76 от 02.09.2010 г.;13204391;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109819;Номер документа в Е-Фарма 13204524;1;;;;;3F522EE6-6C2C-467D-A009-3037469910D5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3587,1;;Роста;Договор поставки №76 от 02.09.2010 г.;13204524;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109820;Номер документа в Е-Фарма 13207244;1;;;;;B9F24C2C-9E83-47F7-9276-FC6E4293E5B4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11622,45;;Роста;Договор поставки №76 от 02.09.2010 г.;13207244;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109821;Номер документа в Е-Фарма 13207190;1;;;;;9E0E3513-1FF8-4851-9998-B1241DEF5232;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4631,33;;Роста;Договор поставки №76 от 02.09.2010 г.;13207190;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109822;Номер документа в Е-Фарма 13204500;1;;;;;AC82E31E-00FB-456A-A0FD-ECAE5E8492AB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;412,26;;Роста;Договор поставки №76 от 02.09.2010 г.;13204500;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109823;Номер документа в Е-Фарма 13204467;1;;;;;7E191F7A-C151-49F9-BD1B-EF3C2089ACD7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2422,26;;Роста;Договор поставки №76 от 02.09.2010 г.;13204467;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109829;Номер документа в Е-Фарма 13207674;1;;;;;F1BC411D-B0F6-44A8-AD41-7E485143F4F8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7731,52;;Роста;Договор поставки №76 от 02.09.2010 г.;13207674;14.11.13;14.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109832;Номер документа в Е-Фарма 13199801;1;;;;;E8006D97-5DD6-4BA2-901E-DF6323356AFF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6824,74;;Роста;Договор поставки №76 от 02.09.2010 г.;13199801;13.11.13;13.11.13
;+;15.11.13;12:00:00;Поступление товаров;00000109835;Номер документа в Е-Фарма 13201317;1;;;;;B43D1BEC-F770-4909-A43E-B199D97ED37D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;1793,55;;Роста;Договор поставки №76 от 02.09.2010 г.;13201317;13.11.13;13.11.13
