

The values that are not in the second file but are in the first file.
;+;07.10.13;12:00:00;Поступление товаров;00000103742;Номер документа в Е-Фарма 359743;1;;;;;08B19FCA-97CA-4EF4-830D-9E9FC644530D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2247,74;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359743;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103743;Номер документа в Е-Фарма 359177;1;;;;;6078BAEB-D1FB-4B1B-ACD0-3EDC2EAC3D98;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9449,7;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359177;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103744;Номер документа в Е-Фарма 359745;1;;;;;48991695-D99F-4FB5-B180-C3916B94C414;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3909,29;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359745;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103757;Номер документа в Е-Фарма 358886;1;;;;;29FDE8BC-610B-4F6C-B172-CFFF40C52D68;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8175,58;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);358886;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103763;Номер документа в Е-Фарма 359950;1;;;;;22AB6015-9E3A-489F-87F9-5A0AB08B6636;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2302,73;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359950;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103764;Номер документа в Е-Фарма 360240;1;;;;;4AABBFC1-BEEE-4758-810F-3A2E7B8FF990;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5507,15;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);360240;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103775;Номер документа в Е-Фарма 359046;1;;;;;82DE4103-FF24-4B0D-B0E0-9A93C7F77E10;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6014,69;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359046;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103776;Номер документа в Е-Фарма 359896;1;;;;;4B33C2B7-B43E-4D81-9179-78D8B928501E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3219,68;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359896;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103778;Номер документа в Е-Фарма 358732;1;;;;;BA4961F4-D04F-4628-88FB-56E48638BCDA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2927,65;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);358732;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103784;Номер документа в Е-Фарма 359114;1;;;;;11D1FFFB-D30E-4FDD-8062-ED5A583B9D0A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8264,87;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359114;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103789;Номер документа в Е-Фарма 360260;1;;;;;9BC7B2A4-0C41-4AB2-8BD2-91BB50904F21;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2520,48;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);360260;04.10.13;04.10.13
;+;12.10.13;12:00:00;Поступление товаров;00000104703;Номер документа в Е-Фарма 369650;1;;;;;EEC5EFAB-291A-4FF3-A53B-BEE090487FDC;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3367,03;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);369650;11.10.13;11.10.13
;+;12.10.13;12:00:00;Поступление товаров;00000104704;Номер документа в Е-Фарма 368851;1;;;;;CB2E70B9-E265-42A1-B98C-74753395E316;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7104,94;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);368851;11.10.13;11.10.13
;+;12.10.13;12:00:00;Поступление товаров;00000104705;Номер документа в Е-Фарма 368852;1;;;;;24D39ED7-8D63-4B96-99A9-1CE54DB6A20F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3654,31;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);368852;11.10.13;11.10.13
;+;12.10.13;12:00:00;Поступление товаров;00000104706;Номер документа в Е-Фарма 369219;1;;;;;075BE2FA-0A23-451F-93DD-9D47C22371E6;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;34702,17;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);369219;11.10.13;11.10.13
;+;12.10.13;12:00:00;Поступление товаров;00000104707;Номер документа в Е-Фарма 369666;1;;;;;3F6692CE-1EE6-49F6-BEBF-16769E195824;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5620,37;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);369666;11.10.13;11.10.13
;+;12.10.13;12:00:00;Поступление товаров;00000104708;Номер документа в Е-Фарма 369764;1;;;;;76E88192-DC09-456E-9829-DB2610A33DDD;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2347,14;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);369764;11.10.13;11.10.13
;+;12.10.13;12:00:00;Поступление товаров;00000104711;Номер документа в Е-Фарма 369420;1;;;;;F09AFFEE-5F89-41B8-945C-7AD138D1ED33;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;95118,82;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);369420;11.10.13;11.10.13
;+;26.10.13;12:00:00;Поступление товаров;00000106753;Номер документа в Е-Фарма 390007;1;;;;;52DB873B-8B21-41DD-B47B-9E795BED254C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11016,94;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390007;25.10.13;25.10.13
;+;26.10.13;12:00:00;Поступление товаров;00000106754;Номер документа в Е-Фарма 390085;1;;;;;4D468573-5567-4A3B-9C0A-953CE2F59CAF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;24237,3;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390085;25.10.13;25.10.13
;+;26.10.13;12:00:00;Поступление товаров;00000106756;Номер документа в Е-Фарма 390136;1;;;;;AC75688F-1D02-4525-A73A-62C57FB42EF7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6843,22;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390136;25.10.13;25.10.13
;+;27.10.13;12:00:00;Поступление товаров;00000106762;Номер документа в Е-Фарма 388907;1;;;;;92FBBDC7-CEA9-47D7-80E1-25AA35465A07;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8918,65;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);388907;24.10.13;24.10.13
;+;27.10.13;14:28:56;Поступление товаров;00000106764;Номер документа в Е-Фарма 389796;1;;;;;F1CB0507-D119-4E01-A5FE-D2DE3111B5F9;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5476,97;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);389796;25.10.13;25.10.13
;+;27.10.13;14:28:56;Поступление товаров;00000106765;Номер документа в Е-Фарма 389911;1;;;;;ACD50817-E2DC-44E3-B9BF-D1431A16BCC7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;175,89;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);389911;25.10.13;25.10.13
;+;27.10.13;14:28:56;Поступление товаров;00000106766;Номер документа в Е-Фарма 390335;1;;;;;073BF6E2-F885-458F-A24E-AF1589B75ECC;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;340,78;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390335;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106775;Номер документа в Е-Фарма 390356;1;;;;;1E072BA0-AC94-4750-BEFF-E0E309FF8CF0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;15706,07;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390356;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106783;Номер документа в Е-Фарма 390617;1;;;;;3718B75A-57F2-409F-A8AE-416FFF091272;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2898,39;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390617;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106784;Номер документа в Е-Фарма 391364;1;;;;;3D806889-EB4D-4843-BA60-D7D078A0C753;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;16283,93;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);391364;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106791;Номер документа в Е-Фарма 389910;1;;;;;0734241A-50F6-4ACC-B49C-83D90107EA3E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11973,26;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);389910;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106793;Номер документа в Е-Фарма 390118;1;;;;;D0839046-D0CD-4671-BE53-CDC8F4B82E50;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;39228,67;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390118;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106794;Номер документа в Е-Фарма 390442;1;;;;;57C278B3-FB24-490F-802B-1F9B4F135994;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2963,14;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390442;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106795;Номер документа в Е-Фарма 390583;1;;;;;454666DE-F947-4901-A2C1-088544A964B8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3926,8;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390583;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106800;Номер документа в Е-Фарма 390120;1;;;;;525E039B-B09D-4640-B3C8-682B6F51CC8D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7069,01;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390120;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106801;Номер документа в Е-Фарма 390397;1;;;;;CD37D67A-65B7-4BA0-98CC-0FF1A63AF2E0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2251,39;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390397;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106813;Номер документа в Е-Фарма 389746;1;;;;;5456ED3B-DB5B-4C3E-8E32-D7CB9AAD3778;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3414,4;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);389746;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106814;Номер документа в Е-Фарма 390117;1;;;;;1CFA6D90-6A5D-4524-BFCB-4D47C8294FB1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11023,57;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390117;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106818;Номер документа в Е-Фарма 390974;1;;;;;2B7213ED-96B1-464C-9428-9C3FD6E0E5F6;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3425,29;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390974;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106819;Номер документа в Е-Фарма 390188;1;;;;;65450A7E-CC42-4551-97B6-19D148819CC2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7898,86;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390188;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106834;Номер документа в Е-Фарма 390237;1;;;;;8B7F8052-F111-4C17-84AB-FD1ADB3EF5C3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;34856,24;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390237;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106840;Номер документа в Е-Фарма 390119;1;;;;;DF8C69CD-CC2D-476B-B7EA-8832DA13E9B3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8329,2;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390119;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106859;Номер документа в Е-Фарма 389759;1;;;;;E0C337FE-8D48-4028-92D7-8273B52E59B5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2045,36;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);389759;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106860;Номер документа в Е-Фарма 389745;1;;;;;E8D784BC-47A3-4BCD-A48F-26AC5A2C1FDB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3414,4;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);389745;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106861;Номер документа в Е-Фарма 389953;1;;;;;CD25BE3E-585E-4033-B441-4B36042FA50F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10797,92;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);389953;25.10.13;25.10.13
;+;28.10.13;14:28:56;Поступление товаров;00000106864;Номер документа в Е-Фарма 390525;1;;;;;51120544-DA1C-4AD6-A15D-6970C1B6716E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2119,15;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);390525;25.10.13;25.10.13
