G;+;Дата;Время;Документ;Номер;Комментарий;АвтоматическийВвод;УникальныйИдентификатор;флВ;УникальныйИдентификаторА2000;ОтборВЖурнале;ИД_Ефа;Филиал документа;Филиал и тип журнала документов;Тип журнала документов;Поступление;Отгрузка;Контрагент;Основание;Номер входящего документа;;
;+;01.10.13;12:00:00;Поступление товаров;00000102948;Номер документа в Е-Фарма 350897;1;;;;;F9669891-1216-4AAD-865C-45422177F0DD;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3141,39;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350897;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102949;Номер документа в Е-Фарма 351451;1;;;;;BC48F5F1-2FAA-45B3-84CE-AC83AF5289B9;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2177,86;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351451;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102950;Номер документа в Е-Фарма 350896;1;;;;;37D38D2E-401C-40D1-B508-867269F08410;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4825,69;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350896;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102951;Номер документа в Е-Фарма 351214;1;;;;;0240FC28-419B-44B8-A339-24320E15D227;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11053,9;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351214;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102960;Номер документа в Е-Фарма 350385;1;;;;;9FB91F82-A587-436F-9BDA-1FEC48CEECBB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8222,5;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350385;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102961;Номер документа в Е-Фарма 351292;1;;;;;58152FDF-D225-49AB-B38F-D1DFE2C018BD;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7556,35;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351292;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102971;Номер документа в Е-Фарма 352333;1;;;;;F0A00EC4-5B0A-4071-9804-0BBDF9775C58;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;23942,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352333;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102972;Номер документа в Е-Фарма 352337;1;;;;;943DA1D3-3DFB-4886-A332-72FCDEE1D7C7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2185,7;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352337;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102973;Номер документа в Е-Фарма 352336;1;;;;;38FB2DFC-43E5-4A48-A3B3-9D57BFA37414;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3755,95;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352336;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102974;Номер документа в Е-Фарма 352623;1;;;;;C05EF551-B89E-4871-B7ED-818CF7E4F2D1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;15928,47;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352623;01.10.13;01.10.13
;+;01.10.13;12:00:00;Поступление товаров;00000102986;Номер документа в Е-Фарма 350365;1;;;;;BF53837F-05BF-42BA-9DB0-09646E558D3C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10329;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350365;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102987;Номер документа в Е-Фарма 352230;1;;;;;79EE7FC1-0533-428E-91CB-F75F4E04D844;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10946,89;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352230;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000103009;Номер документа в Е-Фарма 350382;1;;;;;0C28FADD-EF07-4A1D-A7C6-907118F6B30B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2569,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350382;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000103010;Номер документа в Е-Фарма 351184;1;;;;;9F7D058E-4ECD-4022-B082-9FA2887BAE49;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;22704,1;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351184;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000103011;Номер документа в Е-Фарма 351213;1;;;;;CFF01780-AA05-46BD-8CF3-61C0C0A8B5BD;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;12888,7;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351213;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000103018;Номер документа в Е-Фарма 350366;1;;;;;34FFA660-28C6-48B8-A340-D85383C98885;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6025,25;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350366;01.10.13;01.10.13
;+;01.10.13;12:00:00;Поступление товаров;00000103019;Номер документа в Е-Фарма 350802;1;;;;;631F9BB0-CDAD-4B59-B959-502B6802C83B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2038,74;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350802;01.10.13;01.10.13
;+;01.10.13;12:00:00;Поступление товаров;00000103020;Номер документа в Е-Фарма 351874;1;;;;;BF9B93BE-981E-4321-9389-49B5B92B7CE4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2640,11;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351874;01.10.13;01.10.13
;+;02.10.13;12:00:00;Поступление товаров;00000103037;Номер документа в Е-Фарма 353861;1;;;;;621CACBE-2AAC-4ABA-9090-FA72D6CA9DC3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;62414;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);353861;01.10.13;01.10.13
;+;02.10.13;12:00:00;Поступление товаров;00000103039;Номер документа в Е-Фарма 354452;1;;;;;07CCA5A9-6175-42E8-9B68-EC64F2B61B1A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5382,96;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);354452;01.10.13;01.10.13
;+;02.10.13;12:00:00;Поступление товаров;00000103044;Номер документа в Е-Фарма 352896;1;;;;;6FA9F5BA-64EE-4A93-A015-D3BA0E1BD9F0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4661,8;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352896;01.10.13;01.10.13
